barcode,sample_type,cancer_status
GTEX-11OC5-0126-SM-5HL6A,Normal,Normal
GTEX-11OF3-2626-SM-5GU7F,Normal,Normal
GTEX-11P7K-2126-SM-5GU7G,Normal,Normal
GTEX-11P81-2326-SM-59875,Normal,Normal
GTEX-11P82-1626-SM-59879,Normal,Normal
GTEX-11TT1-2526-SM-5EGIB,Normal,Normal
GTEX-11TTK-0126-SM-5987B,Normal,Normal
GTEX-11TUW-2726-SM-E9J4M,Normal,Normal
GTEX-11UD1-0126-SM-5PNYG,Normal,Normal
GTEX-11UD2-0226-SM-5EQKY,Normal,Normal
GTEX-11VI4-1726-SM-5CVLH,Normal,Normal
GTEX-11WQC-2526-SM-5CVLE,Normal,Normal
GTEX-11WQK-0526-SM-5EQLD,Normal,Normal
GTEX-11XUK-2026-SM-5EQLF,Normal,Normal
GTEX-11ZTS-0126-SM-5EQ6M,Normal,Normal
GTEX-11ZTT-2426-SM-5EQLS,Normal,Normal
GTEX-11ZU8-2526-SM-5EQKI,Normal,Normal
GTEX-11ZUS-0626-SM-59885,Normal,Normal
GTEX-11ZVC-2526-SM-5FQTE,Normal,Normal
GTEX-1211K-2026-SM-5EQ4Z,Normal,Normal
GTEX-12126-0326-SM-5PNW3,Normal,Normal
GTEX-1212Z-2526-SM-5EGKP,Normal,Normal
GTEX-12584-0126-SM-5EGKQ,Normal,Normal
GTEX-12696-2426-SM-5EQ6H,Normal,Normal
GTEX-1269C-2526-SM-5EGJ3,Normal,Normal
GTEX-12C56-1726-SM-5EQ61,Normal,Normal
GTEX-12KS4-0326-SM-5EQ41,Normal,Normal
GTEX-12WSA-0226-SM-5BC5V,Normal,Normal
GTEX-12WSC-0126-SM-5EQ4P,Normal,Normal
GTEX-12WSD-0126-SM-59HKN,Normal,Normal
GTEX-12WSE-0526-SM-793B2,Normal,Normal
GTEX-12WSG-2826-SM-E9J4H,Normal,Normal
GTEX-12WSJ-1826-SM-5GCNY,Normal,Normal
GTEX-12WSK-2326-SM-5GCOH,Normal,Normal
GTEX-12WSL-2526-SM-5GCNJ,Normal,Normal
GTEX-12WSN-5019-SM-79OM6,Normal,Normal
GTEX-12ZZX-0126-SM-5EGK9,Normal,Normal
GTEX-12ZZY-0226-SM-5LZVE,Normal,Normal
GTEX-12ZZZ-0626-SM-5DUXI,Normal,Normal
GTEX-13111-1626-SM-5EGJY,Normal,Normal
GTEX-13112-2826-SM-5DUWH,Normal,Normal
GTEX-13113-5016-SM-7EPIP,Normal,Normal
GTEX-1313W-0126-SM-5LZUN,Normal,Normal
GTEX-1314G-1526-SM-5EGK2,Normal,Normal
GTEX-131XE-2326-SM-5PNZ2,Normal,Normal
GTEX-131XF-5016-SM-7MGWE,Normal,Normal
GTEX-131XG-2626-SM-5KM17,Normal,Normal
GTEX-131XH-2226-SM-5DUXJ,Normal,Normal
GTEX-131XW-0426-SM-5LZWP,Normal,Normal
GTEX-131YS-0126-SM-5KM1M,Normal,Normal
GTEX-132NY-0326-SM-5IJBL,Normal,Normal
GTEX-133LE-1826-SM-5J1MV,Normal,Normal
GTEX-1399R-2726-SM-5IJBA,Normal,Normal
GTEX-1399T-2826-SM-5KLYZ,Normal,Normal
GTEX-1399U-2326-SM-5K7WY,Normal,Normal
GTEX-139D8-0226-SM-5KLZO,Normal,Normal
GTEX-139T4-0226-SM-5HL5S,Normal,Normal
GTEX-139T8-0126-SM-5K7XZ,Normal,Normal
GTEX-139TS-2826-SM-5J1OO,Normal,Normal
GTEX-139TT-0126-SM-5K7Y5,Normal,Normal
GTEX-139TU-0126-SM-5K7WH,Normal,Normal
GTEX-139UW-2826-SM-5L3E7,Normal,Normal
GTEX-13CF2-2526-SM-5LZYX,Normal,Normal
GTEX-13CF3-2426-SM-5IFGX,Normal,Normal
GTEX-13D11-2426-SM-5KM1V,Normal,Normal
GTEX-13FH7-2026-SM-E9J4I,Normal,Normal
GTEX-13FHO-0226-SM-5IFGY,Normal,Normal
GTEX-13FHP-0126-SM-5IJBG,Normal,Normal
GTEX-13FTW-2626-SM-5K7WL,Normal,Normal
GTEX-13FTX-1826-SM-5J1NX,Normal,Normal
GTEX-13FTY-0526-SM-5L3EV,Normal,Normal
GTEX-13FXS-0226-SM-5IJCK,Normal,Normal
GTEX-13G51-2526-SM-5LZYK,Normal,Normal
GTEX-13IVO-0126-SM-5J1NG,Normal,Normal
GTEX-13JUV-2726-SM-5LZZ8,Normal,Normal
GTEX-13N11-2526-SM-5K7UE,Normal,Normal
GTEX-13N1W-0126-SM-5K7VT,Normal,Normal
GTEX-13N2G-2626-SM-5J1OT,Normal,Normal
GTEX-13NYB-2526-SM-5K7Z6,Normal,Normal
GTEX-13NYC-0326-SM-E9J4S,Normal,Normal
GTEX-13NYS-0126-SM-5MR3W,Normal,Normal
GTEX-13NZ8-0826-SM-5MR3I,Normal,Normal
GTEX-13NZA-0226-SM-5K7Z7,Normal,Normal
GTEX-13NZB-2526-SM-5J1OM,Normal,Normal
GTEX-13O1R-0126-SM-5L3EH,Normal,Normal
GTEX-13O21-1426-SM-5K7XI,Normal,Normal
GTEX-13O3O-0126-SM-E9J49,Normal,Normal
GTEX-13O3P-0126-SM-5KM4S,Normal,Normal
GTEX-13O3Q-2426-SM-5IJBR,Normal,Normal
GTEX-13OVG-1926-SM-5L3DK,Normal,Normal
GTEX-13OVH-0126-SM-5MR4B,Normal,Normal
GTEX-13OVI-1426-SM-5L3EY,Normal,Normal
GTEX-13OVJ-0126-SM-5KM36,Normal,Normal
GTEX-13OVK-2026-SM-7KUEO,Normal,Normal
GTEX-13OVL-0226-SM-5L3E9,Normal,Normal
GTEX-13OW5-0126-SM-DTXFS,Normal,Normal
GTEX-13OW6-0426-SM-5L3HM,Normal,Normal
GTEX-13OW7-0126-SM-5MR3B,Normal,Normal
GTEX-13OW8-1326-SM-5J1OW,Normal,Normal
GTEX-13PDP-0126-SM-5L3HD,Normal,Normal
GTEX-13PVR-2326-SM-5QGR1,Normal,Normal
GTEX-13QJ3-0326-SM-5S2RA,Normal,Normal
GTEX-13RTJ-2426-SM-5S2Q2,Normal,Normal
GTEX-13RTK-1426-SM-5QGQJ,Normal,Normal
GTEX-13RTL-0126-SM-7LG5S,Normal,Normal
GTEX-13S7M-0126-SM-5SI6A,Normal,Normal
GTEX-13SLW-0126-SM-5SI6C,Normal,Normal
GTEX-13SLX-0526-SM-5S2ON,Normal,Normal
GTEX-13U4I-0126-SM-5LU38,Normal,Normal
GTEX-13VXT-0126-SM-5LU4I,Normal,Normal
GTEX-13VXU-0126-SM-5SI9F,Normal,Normal
GTEX-13W3W-2426-SM-5LU5B,Normal,Normal
GTEX-13W46-0226-SM-5SIAG,Normal,Normal
GTEX-13X6H-2126-SM-7EWD5,Normal,Normal
GTEX-13X6I-0626-SM-5QGP9,Normal,Normal
GTEX-13X6J-0126-SM-5QGOU,Normal,Normal
GTEX-13YAN-0326-SM-5O9DF,Normal,Normal
GTEX-144FL-0126-SM-5TDC8,Normal,Normal
GTEX-144GL-0126-SM-5TDE2,Normal,Normal
GTEX-144GN-2326-SM-5LU4F,Normal,Normal
GTEX-145LS-0126-SM-5QGP1,Normal,Normal
GTEX-145LT-1726-SM-5QGP3,Normal,Normal
GTEX-145LU-0126-SM-5TDCB,Normal,Normal
GTEX-145LV-2126-SM-5LU8N,Normal,Normal
GTEX-145ME-1826-SM-5SI9G,Normal,Normal
GTEX-145MF-0626-SM-5LUAI,Normal,Normal
GTEX-145MI-0526-SM-5O9A8,Normal,Normal
GTEX-145MN-2226-SM-5SIAU,Normal,Normal
GTEX-145MO-0326-SM-5Q5B3,Normal,Normal
GTEX-146FH-0126-SM-5QGPP,Normal,Normal
GTEX-146FQ-0126-SM-5NQA9,Normal,Normal
GTEX-146FR-1326-SM-E9J48,Normal,Normal
GTEX-14753-0426-SM-5NQAM,Normal,Normal
GTEX-147F3-0526-SM-5SI98,Normal,Normal
GTEX-147F4-0226-SM-5QGPW,Normal,Normal
GTEX-147GR-0526-SM-5S2MY,Normal,Normal
GTEX-148VI-1626-SM-5SI6E,Normal,Normal
GTEX-148VJ-0126-SM-5TDDN,Normal,Normal
GTEX-1497J-2426-SM-7IGNX,Normal,Normal
GTEX-14A5H-0426-SM-5QGQF,Normal,Normal
GTEX-14A5I-0126-SM-5TDEA,Normal,Normal
GTEX-14A6H-0126-SM-5QGPK,Normal,Normal
GTEX-14ABY-0226-SM-5TDCQ,Normal,Normal
GTEX-14BIL-0126-SM-5SI92,Normal,Normal
GTEX-14BIM-0226-SM-7IGLD,Normal,Normal
GTEX-14BIN-0626-SM-793DP,Normal,Normal
GTEX-14BMU-2226-SM-5TDE9,Normal,Normal
GTEX-14BMV-0126-SM-5S2PO,Normal,Normal
GTEX-14C5O-0126-SM-5SI6N,Normal,Normal
GTEX-14DAQ-0126-SM-5S2MQ,Normal,Normal
GTEX-14DAR-2026-SM-5S2O3,Normal,Normal
GTEX-14E6C-0126-SM-5RQIP,Normal,Normal
GTEX-14E6D-0126-SM-62LDV,Normal,Normal
GTEX-14E6E-1826-SM-5S2R7,Normal,Normal
GTEX-14E7W-0126-SM-6LLJ9,Normal,Normal
GTEX-14ICK-0226-SM-6EU25,Normal,Normal
GTEX-14JG1-0426-SM-6ETZZ,Normal,Normal
GTEX-14JG6-2226-SM-6EU2G,Normal,Normal
GTEX-14JIY-0126-SM-6LLH6,Normal,Normal
GTEX-14LLW-0126-SM-6LLIO,Normal,Normal
GTEX-14LZ3-0226-SM-62LET,Normal,Normal
GTEX-14PHW-0126-SM-6LLJI,Normal,Normal
GTEX-14PHX-2326-SM-62LEM,Normal,Normal
GTEX-14PII-0226-SM-6EU1T,Normal,Normal
GTEX-14PJ3-1826-SM-62LEX,Normal,Normal
GTEX-14PJ6-2126-SM-6EU1V,Normal,Normal
GTEX-14PJM-0226-SM-62LF1,Normal,Normal
GTEX-14PK6-1926-SM-6ETZU,Normal,Normal
GTEX-14PN3-2426-SM-6LLHS,Normal,Normal
GTEX-14PN4-0126-SM-6EU2V,Normal,Normal
GTEX-14XAO-2326-SM-6EU1B,Normal,Normal
GTEX-15CHC-2126-SM-6EU21,Normal,Normal
