id	filename	md5	size	state
170aa982-33f1-41d0-b0f0-2585d6e8f906	170aa982-33f1-41d0-b0f0-2585d6e8f906/e0b0b87d-1125-4834-8133-5d719f1fd255.rna_seq.augmented_star_gene_counts.tsv	bcd4f88221a8df5f0f6d864e5197cdb1	4245588	validated
1822b628-9250-4ec1-a914-b5c759ff1bb1	1822b628-9250-4ec1-a914-b5c759ff1bb1/4ca7e773-3858-4ece-b78a-c576b20a5cf3.rna_seq.augmented_star_gene_counts.tsv	7678d3de4f68ba757170c0e416c50957	4234364	validated
1930202c-c766-4106-b6c8-36b82ca507db	1930202c-c766-4106-b6c8-36b82ca507db/6b907244-c173-4e29-a163-24258a430477.rna_seq.augmented_star_gene_counts.tsv	833939e9722107e343c65e47f9919ce7	4233810	validated
19a4a35e-e528-4a0d-9228-3487d81bcbaa	19a4a35e-e528-4a0d-9228-3487d81bcbaa/637a6a07-fc4c-47ed-a442-a2e8368c59c6.rna_seq.augmented_star_gene_counts.tsv	05439c810545dfb5f26b870f1f8c08ae	4225815	validated
1b354090-3362-4233-bb8a-c50bca73497c	1b354090-3362-4233-bb8a-c50bca73497c/967bf1b6-e9da-42b7-8d3c-e6a56394b568.rna_seq.augmented_star_gene_counts.tsv	992f70185031a73f0aed561df1ea3b64	4233277	validated
1c6cb4d2-e5af-42ce-a2cc-9b2610cccd6e	1c6cb4d2-e5af-42ce-a2cc-9b2610cccd6e/5572a203-73b9-4a85-b47d-af228abca5b1.rna_seq.augmented_star_gene_counts.tsv	7d638529b25272d13e3c961a29f7ef9f	4240549	validated
1c810802-db48-4188-8a71-460bd154cf6f	1c810802-db48-4188-8a71-460bd154cf6f/73370088-0b52-429b-957c-fd02d71f864d.rna_seq.augmented_star_gene_counts.tsv	66f261e53b9080a3ec457201ec7dc9b4	4229655	validated
1cac64eb-6dde-4e9f-9bd2-1d94a5cca7a5	1cac64eb-6dde-4e9f-9bd2-1d94a5cca7a5/7478db87-0751-4771-941f-9fccdf01853d.rna_seq.augmented_star_gene_counts.tsv	641198b3f8422d0aa929c894717354c9	4243214	validated
1e1397c5-ba22-4d9b-b39d-36158650fe9c	1e1397c5-ba22-4d9b-b39d-36158650fe9c/add96e53-1114-4364-979b-641665d16629.rna_seq.augmented_star_gene_counts.tsv	047b53ab593a4b23c6fc46fd3c332f8e	4227201	validated
1e30f630-887a-4cff-a262-c0bac82c3af5	1e30f630-887a-4cff-a262-c0bac82c3af5/a8877d9c-7dfb-4544-bbb9-7ef4176f3429.rna_seq.augmented_star_gene_counts.tsv	c3942ff3263cd96867428a7cea479ed6	4234432	validated
